candidate_id,formula,elements,n_atoms,volume_per_atom_a3,role_in_E4,pss,screened_by_pss,spacegroup_generated,spacegroup_number_generated,site_fraction_generated,law7_generated,spacegroup_dft_relaxed,spacegroup_number_dft_relaxed,site_fraction_dft_relaxed,law7_dft_relaxed,proxy_bulk_modulus_gpa,dft_bulk_modulus_gpa,dft_bulk_modulus_pressure_derivative,dft_equilibrium_volume_a3,birch_murnaghan_rms_ev,relaxation_converged
candidate_0369,IrOs3,Ir Os,8,14.415310131636634,control,1.045862993564568,False,Imma,74,0.5,True,Imma,74,0.5,True,383.3257906442982,382.80093483773817,4.955607462857366,115.37504619206707,3.436304580764816e-05,True
candidate_0370,Cr3Os13,Cr Os,16,13.95110144659046,priority,1.1585917410627256,False,P3m1,156,0.5,True,P-6m2,187,0.375,True,420.03481994589384,367.52675252520294,4.862694950154128,223.33720302632423,5.44900026974946e-05,True
candidate_0374,Ir7Os5,Ir Os,12,14.455508816138023,priority,-0.5041182958500053,False,Imm2,44,1.0,False,Imm2,44,1.0,False,400.74125261840004,365.17821746959345,5.176571565427046,173.52419120507682,5.8625806086168025e-05,True
candidate_0376,ReOs5,Os Re,12,14.4951046904963,priority,-0.5394506711894144,False,P1,1,1.0,False,P1,1,1.0,False,420.8132960018495,390.61704673273226,4.920814009550148,173.92319940909718,5.157388869341668e-05,True
candidate_0377,IrOs2,Ir Os,6,14.391415580942914,priority,1.5753145217182007,False,Cmcm,63,0.3333333333333333,True,Cmcm,63,0.3333333333333333,True,401.922128248243,384.04568792592295,5.022561445201581,86.37448610496604,4.036682084499319e-05,True
candidate_0383,Ir4OsRuW4,Ir Os Ru W,10,15.072341545593769,screened,-0.6479950960649324,True,Cm,8,1.0,False,Cm,8,1.0,False,344.55076931611376,327.5372137159717,4.908609515016179,150.75838558046658,8.176515211959649e-05,True
candidate_0388,ReOs,Os Re,10,14.702754296725924,priority,-0.5711806825511836,False,Pm,6,1.0,False,Pm,6,1.0,False,412.9511350529911,379.11565238931723,4.984228922776064,147.11927362857952,0.0001583379752459659,True
candidate_0393,Ir4W,Ir W,15,15.435116552845662,control,1.317127085690156,False,P-3m1,164,0.3333333333333333,True,P-3m1,164,0.3333333333333333,True,301.5424283625603,316.93392948271105,5.100081918763276,231.49290953292143,8.680776554012703e-05,True
candidate_0396,ReOs5,Os Re,6,14.44438467116587,priority,1.042829241458977,False,P-62m,189,0.5,True,P-62m,189,0.5,True,400.4138234700916,395.71871882902946,4.861699471390707,86.71595683730398,3.4700601805571905e-05,True
candidate_0397,ReOs7,Os Re,16,14.472465646527963,priority,1.2370665438992354,False,C2/m,12,0.4375,True,Cmcm,63,0.3125,True,428.0691363194475,376.05599872965604,7.137123605673472,231.64309231218294,0.003782004552133329,True
candidate_0399,IrOs2,Ir Os,6,14.392505055505843,priority,1.0519907490928802,False,P-62m,189,0.5,True,P-62m,189,0.5,True,408.8149839775375,384.09199549938415,5.024912598998442,86.38705039140191,4.229716791292227e-06,True
candidate_0400,ReIr(Os3W)4,Ir Os Re W,18,15.1779895307086,screened,-0.6699776003735006,True,Pm,6,1.0,False,P1,1,1.0,False,362.4332700305499,357.8300216346862,5.520106572705148,267.2408219843245,0.0011081330876575996,False
candidate_0403,Ir5Os11,Ir Os,16,14.423666667926387,priority,-0.4902039228194933,False,P1,1,1.0,False,Cm,8,0.75,False,431.27415514063335,380.56598262355675,5.07603323356971,230.84717865883928,2.7944626849298667e-05,True
candidate_0404,IrOs,Ir Os,12,14.446014756389346,priority,-0.502044675559934,False,Pmm2,25,1.0,False,Pmm2,25,1.0,False,401.3331565759696,370.91020368671406,5.134971817684577,173.3433489040758,5.865226636917897e-05,True
candidate_0407,Ir3Os,Ir Os,12,14.48034812596754,priority,-0.4871027458922782,False,P1,1,1.0,False,Cm,8,1.0,False,416.9474214294954,357.4569197911159,5.240016602988839,173.80065657059203,4.895367943914525e-05,True
candidate_0411,ReOs5,Os Re,12,14.504160799872112,priority,-0.5229113639155969,False,Imm2,44,1.0,False,Imma,74,0.5,True,406.52252816488414,386.9293658574162,5.034007905324672,174.20875122897206,0.00027604292925798756,True
candidate_0412,IrOs3,Ir Os,4,14.433890856710269,priority,0.29163143865173236,False,P-3m1,164,0.75,False,P-3m1,164,0.75,False,430.4122802136181,383.0896122854419,5.064352354867744,57.735935326152266,0.00012072351022220897,True
candidate_0413,ReOs6,Os Re,14,14.43545526930593,priority,1.0585924601858192,False,P-1,2,0.5,True,P-1,2,0.5,True,413.8343111960106,396.56871560465135,4.88035152277855,202.17425477615146,2.7097637516894024e-06,True
candidate_0414,IrOs3,Ir Os,16,14.425207956491732,priority,-0.5210636457932174,False,P1,1,1.0,False,P1,1,1.0,False,401.6661802982257,384.060281759887,5.053686762169478,230.73697048697142,8.19304833552892e-05,True
candidate_0416,Ir5Os7,Ir Os,12,14.404566474075851,priority,-0.5019974758614074,False,Pm,6,1.0,False,Pm,6,1.0,False,419.0448484240044,379.8171535311392,5.049043798065813,172.9564764824517,2.1110408687269627e-05,True
candidate_0433,Re3Ir5Os11,Ir Os Re,19,14.936748699462315,screened,-0.6390871824484389,True,Pm,6,1.0,False,Pm,6,1.0,False,375.13831959053135,363.7452750287553,4.972885334475976,283.8801258984877,8.383140398461748e-05,True
candidate_0435,Ir6Ru4Rh,Ir Rh Ru,11,15.055269132338166,screened,-0.7000882741482589,True,Cm,8,1.0,False,Cm,8,1.0,False,277.54823430452484,280.5444406577667,5.539229005286684,165.6594086460225,7.30595413584945e-05,True
candidate_0440,B2IrOs3,B Ir Os,12,12.259536158871517,control,-0.08560331491091688,False,P1,1,1.0,False,Cc,9,0.5,True,330.3532004136114,331.57117387930225,4.669056512613991,147.111044669051,1.3429761834643167e-05,True
candidate_0446,Re,Re,3,15.032441861865346,control,0.4082247428434046,False,R-3m,166,0.6666666666666666,True,R-3m,166,0.6666666666666666,True,384.20140959902346,365.9132929510966,4.548414928654608,45.125041311071556,8.877969117060728e-06,True
candidate_0451,Re4Os11,Os Re,15,15.222779802353816,screened,-0.7013278422721831,True,P1,1,1.0,False,P1,1,1.0,False,373.8984334171052,346.6947537305689,5.409837106135722,228.3819592746749,0.00046717103177390285,True
