parent_task,candidate_id,task,status,volume_a3,static_energy_ev
E4-candidate_0155,candidate_0155,E4-candidate_0155-v1,complete,167.63153753636055,-125.05490701
E4-candidate_0155,candidate_0155,E4-candidate_0155-v2,complete,172.81601807872244,-125.25162479
E4-candidate_0155,candidate_0155,E4-candidate_0155-v3,complete,178.00049862108403,-125.07456981
E4-candidate_0155,candidate_0155,E4-candidate_0155-v4,complete,183.18497916344563,-124.58570497
E4-candidate_0157,candidate_0157,E4-candidate_0157-v0,complete,143.96425436050112,-105.6706953
E4-candidate_0157,candidate_0157,E4-candidate_0157-v1,complete,148.55885822306996,-106.15500704
E4-candidate_0157,candidate_0157,E4-candidate_0157-v2,complete,153.15346208563932,-106.30801001
E4-candidate_0157,candidate_0157,E4-candidate_0157-v3,complete,157.7480659482085,-106.18382925
E4-candidate_0157,candidate_0157,E4-candidate_0157-v4,complete,162.3426698107778,-105.82894379
E4-candidate_0164,candidate_0164,E4-candidate_0164-v0,complete,163.330976621104,-114.77249061
E4-candidate_0164,candidate_0164,E4-candidate_0164-v1,complete,168.54366736433064,-115.38149026
E4-candidate_0164,candidate_0164,E4-candidate_0164-v2,complete,173.75635810755736,-115.5661517
E4-candidate_0164,candidate_0164,E4-candidate_0164-v3,complete,178.96904885078416,-115.39849624
E4-candidate_0164,candidate_0164,E4-candidate_0164-v4,complete,184.18173959401082,-114.93981057
E4-candidate_0169,candidate_0169,E4-candidate_0169-v0,complete,161.02336166980155,-118.2175027
E4-candidate_0169,candidate_0169,E4-candidate_0169-v1,complete,166.16240512734822,-118.77202401
E4-candidate_0169,candidate_0169,E4-candidate_0169-v2,complete,171.30144858489533,-118.94580806
E4-candidate_0169,candidate_0169,E4-candidate_0169-v3,complete,176.44049204244237,-118.80547692
E4-candidate_0169,candidate_0169,E4-candidate_0169-v4,complete,181.5795354999889,-118.41221173
E4-candidate_0170,candidate_0170,E4-candidate_0170-v0,complete,109.54394817562391,-93.40439378
E4-candidate_0170,candidate_0170,E4-candidate_0170-v1,complete,113.04003162803751,-93.85372474
E4-candidate_0170,candidate_0170,E4-candidate_0170-v2,complete,116.53611508045101,-93.99719036
E4-candidate_0170,candidate_0170,E4-candidate_0170-v3,complete,120.03219853286443,-93.8835083
E4-candidate_0170,candidate_0170,E4-candidate_0170-v4,complete,123.5282819852781,-93.55383152
E4-candidate_0171,candidate_0171,E4-candidate_0171-v0,complete,107.39130596845882,-87.31797024
E4-candidate_0171,candidate_0171,E4-candidate_0171-v1,complete,110.81868807383513,-87.75265733
E4-candidate_0171,candidate_0171,E4-candidate_0171-v2,complete,114.2460701792115,-87.88771691
E4-candidate_0171,candidate_0171,E4-candidate_0171-v3,complete,117.67345228458765,-87.7721529
E4-candidate_0171,candidate_0171,E4-candidate_0171-v4,complete,121.1008343899642,-87.44684411
E4-candidate_0174,candidate_0174,E4-candidate_0174-v0,complete,136.6339900972989,-115.7625683
E4-candidate_0174,candidate_0174,E4-candidate_0174-v1,complete,140.99464935572323,-116.31539278
E4-candidate_0174,candidate_0174,E4-candidate_0174-v2,complete,145.3553086141477,-116.48568092
E4-candidate_0174,candidate_0174,E4-candidate_0174-v3,complete,149.7159678725721,-116.33460671
E4-candidate_0174,candidate_0174,E4-candidate_0174-v4,complete,154.07662713099663,-115.91419492
E4-candidate_0175,candidate_0175,E4-candidate_0175-v0,complete,218.56938283578108,-182.92137765
