parent_task,candidate_id,formula,role,n_points,refit_b0_gpa,refit_v0_a3,refit_bp,refit_e0_ev,refit_rms_ev,optimizer_nfev,published_b0_gpa,signed_error_gpa,absolute_error_gpa,relative_error,published_v0_a3,published_bp,published_rms_ev,uma_bulk_modulus_gpa,pss
E4-candidate_0132,candidate_0132,Re3Os2,priority,5,381.7363547558224,147.36363326516368,4.746590277315169,-120.07343701512204,1.354128536462363e-05,5,381.73635474973497,6.087418569222791e-09,6.087418569222791e-09,1.594665662172439e-11,147.36363326244623,4.746590313093097,1.3541285363299767e-05,422.0945610731947,-0.5716590080885137
E4-candidate_0134,candidate_0134,Ir3Os13,priority,5,387.8055760392041,230.6544513708899,4.976696318696289,-171.29680215347116,1.7060236825729134e-06,5,387.8055760323628,6.841275990154827e-09,6.841275990154827e-09,1.7640994387311013e-11,230.6544513706285,4.976696321387627,1.7060236810293508e-06,418.13714648277806,0.6670332827123621
E4-candidate_0140,candidate_0140,IrOs,control,5,363.10015252928997,173.6008401812707,5.368789352253572,-120.08213914987148,7.474355799614591e-05,7,363.1001525191981,1.0091866897710133e-08,1.0091866897710133e-08,2.779361789768609e-11,173.60084018139733,5.36878935127639,7.474355799717726e-05,377.19004456125685,1.036987497070963
E4-candidate_0142,candidate_0142,Os3Ru,priority,5,360.7266485166883,228.1373461450507,6.410048998683264,-170.34040846322137,0.0015106087668937851,8,360.7266504569049,-1.9402166344661964e-06,1.9402166344661964e-06,5.378634021103437e-09,228.13734589231606,6.410051108854567,0.0015106087669243052,418.20350894771593,0.3091134013477741
E4-candidate_0143,candidate_0143,IrOs3,priority,5,386.8903095349633,115.14551816358751,4.972951008951895,-85.07907132812925,6.322725871716821e-05,7,386.8903097701287,-2.351653733967396e-07,2.351653733967396e-07,6.078347465886736e-10,115.14551818528159,4.9729506366641525,6.32272587260904e-05,418.15952342837375,1.0647342680469032
E4-candidate_0151,candidate_0151,ReOs3,priority,5,394.274098815095,115.97365704584897,4.8552040558916065,-92.79391980523827,1.5208629422407238e-05,5,394.27409878648155,2.8613442282221513e-08,2.8613442282221513e-08,7.257246258450539e-11,115.97365704401713,4.855204086988015,1.5208629422437662e-05,405.6945658881274,1.437772529679419
E4-candidate_0153,candidate_0153,Os5W3,screened,5,349.1671210189977,241.41214584736204,4.881602505203736,-189.2825396006696,0.00018013575510428508,5,349.16712085980913,1.5918857343422133e-07,1.5918857343422133e-07,4.5590940247245003e-10,241.41214583466575,4.881602610905318,0.00018013575510622722,354.916039583965,-0.6681534760615095
E4-candidate_0155,candidate_0155,IrOs2,priority,5,384.0519265101038,172.79668439826884,5.012564070662937,-125.25158494916559,2.6531164583651782e-05,5,384.0519264945741,1.552967887619161e-08,1.552967887619161e-08,4.0436404050718944e-11,172.79668439778305,5.012564076478083,2.6531164580631493e-05,401.70855504277034,-0.5184857595294247
E4-candidate_0157,candidate_0157,Ir3W2,screened,5,319.7677457639738,153.25515538388876,5.021711242889608,-106.30795418693246,7.706292246430075e-05,7,319.76774571603016,4.7943615300027886e-08,4.7943615300027886e-08,1.4993261810277835e-10,153.2551553780449,5.021711317707573,7.706292246543969e-05,343.8015734043097,-0.6928449120905387
E4-candidate_0164,candidate_0164,Ir2Os,control,5,359.84603170640213,173.71906078032842,5.269882369807058,-115.5660219927822,8.671950774264005e-05,5,359.8460317567753,-5.037315986555768e-08,5.037315986555768e-08,1.399853143291172e-10,173.71906077688865,5.269882407291547,8.671950774147727e-05,399.8230001633293,1.0616714444666253
